"Subject" "List" "CardSet" "Homogeneity" "PrimeType" "TargBinary" "Item"
"733" 16 4 "C" "heterogenous" "dispreferred" 0 4
"734" 16 4 "C" "homogenous" "preferred" 0 18
"737" 16 4 "C" "homogenous" "dispreferred" 0 26
"738" 16 4 "C" "heterogenous" "preferred" 1 3
"739" 16 4 "D" "heterogenous" "preferred" 0 20
"741" 16 4 "D" "homogenous" "dispreferred" 0 16
"743" 16 4 "D" "heterogenous" "dispreferred" 0 5
"744" 16 4 "D" "homogenous" "preferred" 0 30
"746" 16 4 "E" "heterogenous" "preferred" 0 8
"747" 16 4 "E" "homogenous" "preferred" 1 19
"749" 16 4 "E" "homogenous" "dispreferred" 0 24
"750" 16 4 "E" "heterogenous" "dispreferred" 1 12
"751" 16 4 "F" "homogenous" "preferred" 0 7
"752" 16 4 "F" "heterogenous" "dispreferred" 0 10
"754" 16 4 "F" "heterogenous" "preferred" 0 15
"756" 16 4 "F" "homogenous" "dispreferred" 1 1
"758" 16 4 "G" "homogenous" "dispreferred" 0 2
"759" 16 4 "G" "homogenous" "preferred" 0 14
"761" 16 4 "G" "heterogenous" "dispreferred" 1 23
"762" 16 4 "G" "heterogenous" "preferred" 0 6
"763" 16 4 "H" "heterogenous" "preferred" 0 17
"766" 16 4 "H" "heterogenous" "dispreferred" 0 31
"767" 16 4 "H" "homogenous" "preferred" 0 32
"768" 16 4 "H" "homogenous" "dispreferred" 0 25
"769" 17 1 "A" "homogenous" "preferred" 0 20
"770" 17 1 "A" "heterogenous" "preferred" 1 7
"772" 17 1 "A" "heterogenous" "dispreferred" 0 29
"774" 17 1 "A" "homogenous" "dispreferred" 0 13
"775" 17 1 "B" "heterogenous" "dispreferred" 1 27
"776" 17 1 "B" "heterogenous" "preferred" 0 26
"777" 17 1 "B" "homogenous" "dispreferred" 0 12
"778" 17 1 "B" "homogenous" "preferred" 0 11
"781" 17 1 "C" "heterogenous" "dispreferred" 0 32
"782" 17 1 "C" "homogenous" "preferred" 0 17
"785" 17 1 "C" "homogenous" "dispreferred" 0 28
"786" 17 1 "C" "heterogenous" "preferred" 0 30
"787" 17 1 "D" "heterogenous" "preferred" 0 22
"789" 17 1 "D" "homogenous" "dispreferred" 1 6
"791" 17 1 "D" "heterogenous" "dispreferred" 0 24
"792" 17 1 "D" "homogenous" "preferred" 0 3
"794" 17 1 "E" "heterogenous" "preferred" 0 1
"795" 17 1 "E" "homogenous" "preferred" 0 15
"797" 17 1 "E" "homogenous" "dispreferred" 1 5
"798" 17 1 "E" "heterogenous" "dispreferred" 0 21
"799" 17 1 "F" "homogenous" "preferred" 1 9
"800" 17 1 "F" "heterogenous" "dispreferred" 0 14
"802" 17 1 "F" "heterogenous" "preferred" 0 19
"804" 17 1 "F" "homogenous" "dispreferred" 1 8
"806" 17 1 "G" "homogenous" "dispreferred" 0 31
"807" 17 1 "G" "homogenous" "preferred" 0 10
"809" 17 1 "G" "heterogenous" "dispreferred" 1 25
"810" 17 1 "G" "heterogenous" "preferred" 1 16
"811" 17 1 "H" "heterogenous" "preferred" 0 18
"814" 17 1 "H" "heterogenous" "dispreferred" 0 2
"815" 17 1 "H" "homogenous" "preferred" 1 4
"816" 17 1 "H" "homogenous" "dispreferred" 1 23
"817" 18 2 "A" "homogenous" "preferred" 1 27
"818" 18 2 "A" "heterogenous" "dispreferred" 1 9
"820" 18 2 "A" "heterogenous" "preferred" 1 11
"822" 18 2 "A" "homogenous" "dispreferred" 0 22
"823" 18 2 "B" "heterogenous" "preferred" 1 13
"824" 18 2 "B" "heterogenous" "dispreferred" 1 28
"825" 18 2 "B" "homogenous" "preferred" 1 21
"826" 18 2 "B" "homogenous" "dispreferred" 0 29
"829" 18 2 "C" "heterogenous" "preferred" 1 4
"830" 18 2 "C" "homogenous" "dispreferred" 0 18
"833" 18 2 "C" "homogenous" "preferred" 0 26
"834" 18 2 "C" "heterogenous" "dispreferred" 0 3
"835" 18 2 "D" "heterogenous" "dispreferred" 1 20
"837" 18 2 "D" "homogenous" "preferred" 0 16
"839" 18 2 "D" "heterogenous" "preferred" 1 5
"840" 18 2 "D" "homogenous" "dispreferred" 0 30
"842" 18 2 "E" "heterogenous" "dispreferred" 0 8
"843" 18 2 "E" "homogenous" "dispreferred" 0 19
"845" 18 2 "E" "homogenous" "preferred" 0 24
"846" 18 2 "E" "heterogenous" "preferred" 1 12
"847" 18 2 "F" "homogenous" "dispreferred" 1 7
"848" 18 2 "F" "heterogenous" "preferred" 0 10
"850" 18 2 "F" "heterogenous" "dispreferred" 1 15
"852" 18 2 "F" "homogenous" "preferred" 0 1
"854" 18 2 "G" "homogenous" "preferred" 0 2
"855" 18 2 "G" "homogenous" "dispreferred" 0 14
"857" 18 2 "G" "heterogenous" "preferred" 1 23
"858" 18 2 "G" "heterogenous" "dispreferred" 1 6
"859" 18 2 "H" "heterogenous" "dispreferred" 0 17
"862" 18 2 "H" "heterogenous" "preferred" 0 31
"863" 18 2 "H" "homogenous" "dispreferred" 1 32
"864" 18 2 "H" "homogenous" "preferred" 1 25
"865" 19 3 "A" "homogenous" "dispreferred" 0 20
"866" 19 3 "A" "heterogenous" "dispreferred" 1 7
"868" 19 3 "A" "heterogenous" "preferred" 1 29
"870" 19 3 "A" "homogenous" "preferred" 0 13
"871" 19 3 "B" "heterogenous" "preferred" 0 27
"872" 19 3 "B" "heterogenous" "dispreferred" 0 26
"873" 19 3 "B" "homogenous" "preferred" 1 12
"874" 19 3 "B" "homogenous" "dispreferred" 1 11
"877" 19 3 "C" "heterogenous" "preferred" 1 32
"878" 19 3 "C" "homogenous" "dispreferred" 0 17
"881" 19 3 "C" "homogenous" "preferred" 0 28
"882" 19 3 "C" "heterogenous" "dispreferred" 1 30
"883" 19 3 "D" "heterogenous" "dispreferred" 0 22
"885" 19 3 "D" "homogenous" "preferred" 0 6
"887" 19 3 "D" "heterogenous" "preferred" 0 24
"888" 19 3 "D" "homogenous" "dispreferred" 1 3
"890" 19 3 "E" "heterogenous" "dispreferred" 1 1
"891" 19 3 "E" "homogenous" "dispreferred" 0 15
"893" 19 3 "E" "homogenous" "preferred" 0 5
"894" 19 3 "E" "heterogenous" "preferred" 1 21
"895" 19 3 "F" "homogenous" "dispreferred" 1 9
"896" 19 3 "F" "heterogenous" "preferred" 0 14
"898" 19 3 "F" "heterogenous" "dispreferred" 0 19
"900" 19 3 "F" "homogenous" "preferred" 0 8
"902" 19 3 "G" "homogenous" "preferred" 0 31
"903" 19 3 "G" "homogenous" "dispreferred" 0 10
"905" 19 3 "G" "heterogenous" "preferred" 0 25
"906" 19 3 "G" "heterogenous" "dispreferred" 1 16
"907" 19 3 "H" "heterogenous" "dispreferred" 0 18
"910" 19 3 "H" "heterogenous" "preferred" 1 2
"911" 19 3 "H" "homogenous" "dispreferred" 1 4
"912" 19 3 "H" "homogenous" "preferred" 1 23
"913" 20 4 "A" "homogenous" "dispreferred" 1 27
"914" 20 4 "A" "heterogenous" "preferred" 1 9
"916" 20 4 "A" "heterogenous" "dispreferred" 0 11
"918" 20 4 "A" "homogenous" "preferred" 1 22
"919" 20 4 "B" "heterogenous" "dispreferred" 1 13
"920" 20 4 "B" "heterogenous" "preferred" 0 28
"921" 20 4 "B" "homogenous" "dispreferred" 1 21
"922" 20 4 "B" "homogenous" "preferred" 0 29
"925" 20 4 "C" "heterogenous" "dispreferred" 1 4
"926" 20 4 "C" "homogenous" "preferred" 0 18
"929" 20 4 "C" "homogenous" "dispreferred" 1 26
"930" 20 4 "C" "heterogenous" "preferred" 1 3
"931" 20 4 "D" "heterogenous" "preferred" 1 20
"933" 20 4 "D" "homogenous" "dispreferred" 1 16
"935" 20 4 "D" "heterogenous" "dispreferred" 0 5
"936" 20 4 "D" "homogenous" "preferred" 1 30
"938" 20 4 "E" "heterogenous" "preferred" 1 8
"939" 20 4 "E" "homogenous" "preferred" 1 19
"941" 20 4 "E" "homogenous" "dispreferred" 0 24
"942" 20 4 "E" "heterogenous" "dispreferred" 0 12
"943" 20 4 "F" "homogenous" "preferred" 0 7
"944" 20 4 "F" "heterogenous" "dispreferred" 0 10
"946" 20 4 "F" "heterogenous" "preferred" 0 15
"948" 20 4 "F" "homogenous" "dispreferred" 0 1
"950" 20 4 "G" "homogenous" "dispreferred" 0 2
"951" 20 4 "G" "homogenous" "preferred" 0 14
"953" 20 4 "G" "heterogenous" "dispreferred" 1 23
"954" 20 4 "G" "heterogenous" "preferred" 1 6
"955" 20 4 "H" "heterogenous" "preferred" 0 17
"958" 20 4 "H" "heterogenous" "dispreferred" 0 31
"959" 20 4 "H" "homogenous" "preferred" 0 32
"960" 20 4 "H" "homogenous" "dispreferred" 0 25
"961" 21 1 "A" "homogenous" "preferred" 0 20
"962" 21 1 "A" "heterogenous" "preferred" 1 7
"964" 21 1 "A" "heterogenous" "dispreferred" 1 29
"966" 21 1 "A" "homogenous" "dispreferred" 0 13
"967" 21 1 "B" "heterogenous" "dispreferred" 1 27
"968" 21 1 "B" "heterogenous" "preferred" 1 26
"969" 21 1 "B" "homogenous" "dispreferred" 0 12
"970" 21 1 "B" "homogenous" "preferred" 1 11
"973" 21 1 "C" "heterogenous" "dispreferred" 0 32
"974" 21 1 "C" "homogenous" "preferred" 0 17
"977" 21 1 "C" "homogenous" "dispreferred" 0 28
"978" 21 1 "C" "heterogenous" "preferred" 0 30
"979" 21 1 "D" "heterogenous" "preferred" 0 22
"981" 21 1 "D" "homogenous" "dispreferred" 1 6
"983" 21 1 "D" "heterogenous" "dispreferred" 0 24
"984" 21 1 "D" "homogenous" "preferred" 1 3
"986" 21 1 "E" "heterogenous" "preferred" 0 1
"987" 21 1 "E" "homogenous" "preferred" 0 15
"989" 21 1 "E" "homogenous" "dispreferred" 0 5
"990" 21 1 "E" "heterogenous" "dispreferred" 0 21
"991" 21 1 "F" "homogenous" "preferred" 1 9
"992" 21 1 "F" "heterogenous" "dispreferred" 0 14
"994" 21 1 "F" "heterogenous" "preferred" 1 19
"996" 21 1 "F" "homogenous" "dispreferred" 0 8
"998" 21 1 "G" "homogenous" "dispreferred" 0 31
"999" 21 1 "G" "homogenous" "preferred" 1 10
"1001" 21 1 "G" "heterogenous" "dispreferred" 1 25
"1002" 21 1 "G" "heterogenous" "preferred" 1 16
"1003" 21 1 "H" "heterogenous" "preferred" 1 18
"1006" 21 1 "H" "heterogenous" "dispreferred" 0 2
"1007" 21 1 "H" "homogenous" "preferred" 1 4
"1008" 21 1 "H" "homogenous" "dispreferred" 1 23
"1009" 22 2 "A" "homogenous" "preferred" 1 27
"1010" 22 2 "A" "heterogenous" "dispreferred" 0 9
"1012" 22 2 "A" "heterogenous" "preferred" 0 11
"1014" 22 2 "A" "homogenous" "dispreferred" 1 22
"1015" 22 2 "B" "heterogenous" "preferred" 1 13
"1016" 22 2 "B" "heterogenous" "dispreferred" 1 28
"1017" 22 2 "B" "homogenous" "preferred" 0 21
"1018" 22 2 "B" "homogenous" "dispreferred" 0 29
"1021" 22 2 "C" "heterogenous" "preferred" 1 4
"1022" 22 2 "C" "homogenous" "dispreferred" 0 18
"1025" 22 2 "C" "homogenous" "preferred" 0 26
"1026" 22 2 "C" "heterogenous" "dispreferred" 0 3
"1027" 22 2 "D" "heterogenous" "dispreferred" 0 20
"1029" 22 2 "D" "homogenous" "preferred" 0 16
"1031" 22 2 "D" "heterogenous" "preferred" 0 5
"1032" 22 2 "D" "homogenous" "dispreferred" 1 30
"1034" 22 2 "E" "heterogenous" "dispreferred" 1 8
"1035" 22 2 "E" "homogenous" "dispreferred" 1 19
"1037" 22 2 "E" "homogenous" "preferred" 0 24
"1038" 22 2 "E" "heterogenous" "preferred" 1 12
"1039" 22 2 "F" "homogenous" "dispreferred" 0 7
"1040" 22 2 "F" "heterogenous" "preferred" 1 10
"1042" 22 2 "F" "heterogenous" "dispreferred" 1 15
"1044" 22 2 "F" "homogenous" "preferred" 0 1
"1046" 22 2 "G" "homogenous" "preferred" 0 2
"1047" 22 2 "G" "homogenous" "dispreferred" 0 14
"1049" 22 2 "G" "heterogenous" "preferred" 1 23
"1050" 22 2 "G" "heterogenous" "dispreferred" 1 6
"1051" 22 2 "H" "heterogenous" "dispreferred" 0 17
"1054" 22 2 "H" "heterogenous" "preferred" 0 31
"1055" 22 2 "H" "homogenous" "dispreferred" 1 32
"1056" 22 2 "H" "homogenous" "preferred" 0 25
"1057" 23 3 "A" "homogenous" "dispreferred" 0 20
"1058" 23 3 "A" "heterogenous" "dispreferred" 0 7
"1060" 23 3 "A" "heterogenous" "preferred" 1 29
"1062" 23 3 "A" "homogenous" "preferred" 0 13
"1063" 23 3 "B" "heterogenous" "preferred" 0 27
"1064" 23 3 "B" "heterogenous" "dispreferred" 0 26
"1065" 23 3 "B" "homogenous" "preferred" 1 12
"1066" 23 3 "B" "homogenous" "dispreferred" 1 11
"1069" 23 3 "C" "heterogenous" "preferred" 1 32
"1070" 23 3 "C" "homogenous" "dispreferred" 0 17
"1073" 23 3 "C" "homogenous" "preferred" 1 28
"1074" 23 3 "C" "heterogenous" "dispreferred" 0 30
"1075" 23 3 "D" "heterogenous" "dispreferred" 1 22
"1077" 23 3 "D" "homogenous" "preferred" 1 6
"1079" 23 3 "D" "heterogenous" "preferred" 1 24
"1080" 23 3 "D" "homogenous" "dispreferred" 1 3
"1082" 23 3 "E" "heterogenous" "dispreferred" 0 1
"1083" 23 3 "E" "homogenous" "dispreferred" 0 15
"1085" 23 3 "E" "homogenous" "preferred" 0 5
"1086" 23 3 "E" "heterogenous" "preferred" 1 21
"1087" 23 3 "F" "homogenous" "dispreferred" 0 9
"1088" 23 3 "F" "heterogenous" "preferred" 0 14
"1090" 23 3 "F" "heterogenous" "dispreferred" 1 19
"1092" 23 3 "F" "homogenous" "preferred" 1 8
"1094" 23 3 "G" "homogenous" "preferred" 0 31
"1095" 23 3 "G" "homogenous" "dispreferred" 0 10
"1097" 23 3 "G" "heterogenous" "preferred" 1 25
"1098" 23 3 "G" "heterogenous" "dispreferred" 1 16
"1099" 23 3 "H" "heterogenous" "dispreferred" 0 18
"1102" 23 3 "H" "heterogenous" "preferred" 0 2
"1103" 23 3 "H" "homogenous" "dispreferred" 1 4
"1104" 23 3 "H" "homogenous" "preferred" 1 23
"1105" 24 4 "A" "homogenous" "dispreferred" 0 27
"1106" 24 4 "A" "heterogenous" "preferred" 1 9
"1108" 24 4 "A" "heterogenous" "dispreferred" 1 11
"1110" 24 4 "A" "homogenous" "preferred" 0 22
"1111" 24 4 "B" "heterogenous" "dispreferred" 0 13
"1112" 24 4 "B" "heterogenous" "preferred" 0 28
"1113" 24 4 "B" "homogenous" "dispreferred" 0 21
"1114" 24 4 "B" "homogenous" "preferred" 0 29
"1117" 24 4 "C" "heterogenous" "dispreferred" 1 4
"1118" 24 4 "C" "homogenous" "preferred" 0 18
"1121" 24 4 "C" "homogenous" "dispreferred" 0 26
"1122" 24 4 "C" "heterogenous" "preferred" 0 3
"1123" 24 4 "D" "heterogenous" "preferred" 0 20
"1125" 24 4 "D" "homogenous" "dispreferred" 1 16
"1127" 24 4 "D" "heterogenous" "dispreferred" 0 5
"1128" 24 4 "D" "homogenous" "preferred" 1 30
"1130" 24 4 "E" "heterogenous" "preferred" 1 8
"1131" 24 4 "E" "homogenous" "preferred" 0 19
"1133" 24 4 "E" "homogenous" "dispreferred" 0 24
"1134" 24 4 "E" "heterogenous" "dispreferred" 1 12
"1135" 24 4 "F" "homogenous" "preferred" 1 7
"1136" 24 4 "F" "heterogenous" "dispreferred" 0 10
"1138" 24 4 "F" "heterogenous" "preferred" 0 15
"1140" 24 4 "F" "homogenous" "dispreferred" 0 1
"1142" 24 4 "G" "homogenous" "dispreferred" 1 2
"1143" 24 4 "G" "homogenous" "preferred" 0 14
"1145" 24 4 "G" "heterogenous" "dispreferred" 1 23
"1146" 24 4 "G" "heterogenous" "preferred" 0 6
"1147" 24 4 "H" "heterogenous" "preferred" 0 17
"1150" 24 4 "H" "heterogenous" "dispreferred" 0 31
"1151" 24 4 "H" "homogenous" "preferred" 0 32
"1152" 24 4 "H" "homogenous" "dispreferred" 1 25
"1153" 25 1 "A" "homogenous" "preferred" 1 20
"1154" 25 1 "A" "heterogenous" "preferred" 1 7
"1156" 25 1 "A" "heterogenous" "dispreferred" 0 29
"1158" 25 1 "A" "homogenous" "dispreferred" 1 13
"1159" 25 1 "B" "heterogenous" "dispreferred" 1 27
"1160" 25 1 "B" "heterogenous" "preferred" 1 26
"1161" 25 1 "B" "homogenous" "dispreferred" 0 12
"1162" 25 1 "B" "homogenous" "preferred" 0 11
"1165" 25 1 "C" "heterogenous" "dispreferred" 1 32
"1166" 25 1 "C" "homogenous" "preferred" 0 17
"1169" 25 1 "C" "homogenous" "dispreferred" 0 28
"1170" 25 1 "C" "heterogenous" "preferred" 1 30
"1171" 25 1 "D" "heterogenous" "preferred" 0 22
"1173" 25 1 "D" "homogenous" "dispreferred" 1 6
"1175" 25 1 "D" "heterogenous" "dispreferred" 0 24
"1176" 25 1 "D" "homogenous" "preferred" 1 3
"1178" 25 1 "E" "heterogenous" "preferred" 1 1
"1179" 25 1 "E" "homogenous" "preferred" 0 15
"1181" 25 1 "E" "homogenous" "dispreferred" 0 5
"1182" 25 1 "E" "heterogenous" "dispreferred" 0 21
"1183" 25 1 "F" "homogenous" "preferred" 1 9
"1184" 25 1 "F" "heterogenous" "dispreferred" 0 14
"1186" 25 1 "F" "heterogenous" "preferred" 1 19
"1188" 25 1 "F" "homogenous" "dispreferred" 0 8
"1190" 25 1 "G" "homogenous" "dispreferred" 0 31
"1191" 25 1 "G" "homogenous" "preferred" 0 10
"1193" 25 1 "G" "heterogenous" "dispreferred" 1 25
"1194" 25 1 "G" "heterogenous" "preferred" 1 16
"1195" 25 1 "H" "heterogenous" "preferred" 1 18
"1198" 25 1 "H" "heterogenous" "dispreferred" 0 2
"1199" 25 1 "H" "homogenous" "preferred" 1 4
"1200" 25 1 "H" "homogenous" "dispreferred" 1 23
"1201" 26 2 "A" "homogenous" "preferred" 1 27
"1202" 26 2 "A" "heterogenous" "dispreferred" 0 9
"1204" 26 2 "A" "heterogenous" "preferred" 0 11
"1206" 26 2 "A" "homogenous" "dispreferred" 0 22
"1207" 26 2 "B" "heterogenous" "preferred" 0 13
"1208" 26 2 "B" "heterogenous" "dispreferred" 0 28
"1209" 26 2 "B" "homogenous" "preferred" 0 21
"1210" 26 2 "B" "homogenous" "dispreferred" 1 29
"1213" 26 2 "C" "heterogenous" "preferred" 1 4
"1214" 26 2 "C" "homogenous" "dispreferred" 0 18
"1217" 26 2 "C" "homogenous" "preferred" 0 26
"1218" 26 2 "C" "heterogenous" "dispreferred" 0 3
"1219" 26 2 "D" "heterogenous" "dispreferred" 1 20
"1221" 26 2 "D" "homogenous" "preferred" 1 16
"1223" 26 2 "D" "heterogenous" "preferred" 1 5
"1224" 26 2 "D" "homogenous" "dispreferred" 0 30
"1226" 26 2 "E" "heterogenous" "dispreferred" 0 8
"1227" 26 2 "E" "homogenous" "dispreferred" 0 19
"1229" 26 2 "E" "homogenous" "preferred" 1 24
"1230" 26 2 "E" "heterogenous" "preferred" 0 12
"1231" 26 2 "F" "homogenous" "dispreferred" 0 7
"1232" 26 2 "F" "heterogenous" "preferred" 0 10
"1234" 26 2 "F" "heterogenous" "dispreferred" 0 15
"1236" 26 2 "F" "homogenous" "preferred" 0 1
"1238" 26 2 "G" "homogenous" "preferred" 0 2
"1239" 26 2 "G" "homogenous" "dispreferred" 0 14
"1241" 26 2 "G" "heterogenous" "preferred" 0 23
"1242" 26 2 "G" "heterogenous" "dispreferred" 1 6
"1243" 26 2 "H" "heterogenous" "dispreferred" 0 17
"1246" 26 2 "H" "heterogenous" "preferred" 0 31
"1247" 26 2 "H" "homogenous" "dispreferred" 0 32
"1248" 26 2 "H" "homogenous" "preferred" 1 25
"1249" 27 3 "A" "homogenous" "dispreferred" 0 20
"1250" 27 3 "A" "heterogenous" "dispreferred" 0 7
"1252" 27 3 "A" "heterogenous" "preferred" 1 29
"1254" 27 3 "A" "homogenous" "preferred" 0 13
"1255" 27 3 "B" "heterogenous" "preferred" 1 27
"1256" 27 3 "B" "heterogenous" "dispreferred" 0 26
"1257" 27 3 "B" "homogenous" "preferred" 1 12
"1258" 27 3 "B" "homogenous" "dispreferred" 1 11
"1261" 27 3 "C" "heterogenous" "preferred" 1 32
"1262" 27 3 "C" "homogenous" "dispreferred" 0 17
"1265" 27 3 "C" "homogenous" "preferred" 0 28
"1266" 27 3 "C" "heterogenous" "dispreferred" 0 30
"1267" 27 3 "D" "heterogenous" "dispreferred" 1 22
"1269" 27 3 "D" "homogenous" "preferred" 1 6
"1271" 27 3 "D" "heterogenous" "preferred" 1 24
"1272" 27 3 "D" "homogenous" "dispreferred" 1 3
"1274" 27 3 "E" "heterogenous" "dispreferred" 0 1
"1275" 27 3 "E" "homogenous" "dispreferred" 1 15
"1277" 27 3 "E" "homogenous" "preferred" 1 5
"1278" 27 3 "E" "heterogenous" "preferred" 0 21
"1279" 27 3 "F" "homogenous" "dispreferred" 1 9
"1280" 27 3 "F" "heterogenous" "preferred" 0 14
"1282" 27 3 "F" "heterogenous" "dispreferred" 1 19
"1284" 27 3 "F" "homogenous" "preferred" 0 8
"1286" 27 3 "G" "homogenous" "preferred" 0 31
"1287" 27 3 "G" "homogenous" "dispreferred" 0 10
"1289" 27 3 "G" "heterogenous" "preferred" 1 25
"1290" 27 3 "G" "heterogenous" "dispreferred" 1 16
"1291" 27 3 "H" "heterogenous" "dispreferred" 0 18
"1294" 27 3 "H" "heterogenous" "preferred" 0 2
"1295" 27 3 "H" "homogenous" "dispreferred" 1 4
"1296" 27 3 "H" "homogenous" "preferred" 1 23
"1297" 28 4 "A" "homogenous" "dispreferred" 0 27
"1298" 28 4 "A" "heterogenous" "preferred" 1 9
"1300" 28 4 "A" "heterogenous" "dispreferred" 1 11
"1302" 28 4 "A" "homogenous" "preferred" 0 22
"1303" 28 4 "B" "heterogenous" "dispreferred" 1 13
"1304" 28 4 "B" "heterogenous" "preferred" 0 28
"1305" 28 4 "B" "homogenous" "dispreferred" 0 21
"1306" 28 4 "B" "homogenous" "preferred" 0 29
"1309" 28 4 "C" "heterogenous" "dispreferred" 1 4
"1310" 28 4 "C" "homogenous" "preferred" 0 18
"1313" 28 4 "C" "homogenous" "dispreferred" 0 26
"1314" 28 4 "C" "heterogenous" "preferred" 0 3
"1315" 28 4 "D" "heterogenous" "preferred" 1 20
"1317" 28 4 "D" "homogenous" "dispreferred" 1 16
"1319" 28 4 "D" "heterogenous" "dispreferred" 1 5
"1320" 28 4 "D" "homogenous" "preferred" 0 30
"1322" 28 4 "E" "heterogenous" "preferred" 1 8
"1323" 28 4 "E" "homogenous" "preferred" 0 19
"1325" 28 4 "E" "homogenous" "dispreferred" 0 24
"1326" 28 4 "E" "heterogenous" "dispreferred" 0 12
"1327" 28 4 "F" "homogenous" "preferred" 0 7
"1328" 28 4 "F" "heterogenous" "dispreferred" 0 10
"1330" 28 4 "F" "heterogenous" "preferred" 0 15
"1332" 28 4 "F" "homogenous" "dispreferred" 0 1
"1334" 28 4 "G" "homogenous" "dispreferred" 0 2
"1335" 28 4 "G" "homogenous" "preferred" 0 14
"1337" 28 4 "G" "heterogenous" "dispreferred" 0 23
"1338" 28 4 "G" "heterogenous" "preferred" 1 6
"1339" 28 4 "H" "heterogenous" "preferred" 0 17
"1342" 28 4 "H" "heterogenous" "dispreferred" 0 31
"1343" 28 4 "H" "homogenous" "preferred" 1 32
"1344" 28 4 "H" "homogenous" "dispreferred" 1 25
"1345" 29 1 "A" "homogenous" "preferred" 1 20
"1346" 29 1 "A" "heterogenous" "preferred" 1 7
"1348" 29 1 "A" "heterogenous" "dispreferred" 1 29
"1350" 29 1 "A" "homogenous" "dispreferred" 1 13
"1351" 29 1 "B" "heterogenous" "dispreferred" 0 27
"1352" 29 1 "B" "heterogenous" "preferred" 0 26
"1353" 29 1 "B" "homogenous" "dispreferred" 0 12
"1354" 29 1 "B" "homogenous" "preferred" 0 11
"1357" 29 1 "C" "heterogenous" "dispreferred" 0 32
"1358" 29 1 "C" "homogenous" "preferred" 0 17
"1361" 29 1 "C" "homogenous" "dispreferred" 0 28
"1362" 29 1 "C" "heterogenous" "preferred" 1 30
"1363" 29 1 "D" "heterogenous" "preferred" 1 22
"1365" 29 1 "D" "homogenous" "dispreferred" 0 6
"1367" 29 1 "D" "heterogenous" "dispreferred" 1 24
"1368" 29 1 "D" "homogenous" "preferred" 0 3
"1370" 29 1 "E" "heterogenous" "preferred" 0 1
"1371" 29 1 "E" "homogenous" "preferred" 0 15
"1373" 29 1 "E" "homogenous" "dispreferred" 0 5
"1374" 29 1 "E" "heterogenous" "dispreferred" 0 21
"1375" 29 1 "F" "homogenous" "preferred" 1 9
"1376" 29 1 "F" "heterogenous" "dispreferred" 0 14
"1378" 29 1 "F" "heterogenous" "preferred" 1 19
"1380" 29 1 "F" "homogenous" "dispreferred" 1 8
"1382" 29 1 "G" "homogenous" "dispreferred" 0 31
"1383" 29 1 "G" "homogenous" "preferred" 0 10
"1385" 29 1 "G" "heterogenous" "dispreferred" 1 25
"1386" 29 1 "G" "heterogenous" "preferred" 1 16
"1387" 29 1 "H" "heterogenous" "preferred" 1 18
"1390" 29 1 "H" "heterogenous" "dispreferred" 0 2
"1391" 29 1 "H" "homogenous" "preferred" 0 4
"1392" 29 1 "H" "homogenous" "dispreferred" 1 23
"1393" 30 2 "A" "homogenous" "preferred" 1 27
"1394" 30 2 "A" "heterogenous" "dispreferred" 0 9
"1396" 30 2 "A" "heterogenous" "preferred" 1 11
"1398" 30 2 "A" "homogenous" "dispreferred" 0 22
"1399" 30 2 "B" "heterogenous" "preferred" 1 13
"1400" 30 2 "B" "heterogenous" "dispreferred" 0 28
"1401" 30 2 "B" "homogenous" "preferred" 1 21
"1402" 30 2 "B" "homogenous" "dispreferred" 0 29
"1405" 30 2 "C" "heterogenous" "preferred" 1 4
"1406" 30 2 "C" "homogenous" "dispreferred" 0 18
"1409" 30 2 "C" "homogenous" "preferred" 1 26
"1410" 30 2 "C" "heterogenous" "dispreferred" 0 3
"1411" 30 2 "D" "heterogenous" "dispreferred" 0 20
"1413" 30 2 "D" "homogenous" "preferred" 1 16
"1415" 30 2 "D" "heterogenous" "preferred" 1 5
"1416" 30 2 "D" "homogenous" "dispreferred" 0 30
"1418" 30 2 "E" "heterogenous" "dispreferred" 0 8
"1419" 30 2 "E" "homogenous" "dispreferred" 0 19
"1421" 30 2 "E" "homogenous" "preferred" 0 24
"1422" 30 2 "E" "heterogenous" "preferred" 1 12
"1423" 30 2 "F" "homogenous" "dispreferred" 1 7
"1424" 30 2 "F" "heterogenous" "preferred" 0 10
"1426" 30 2 "F" "heterogenous" "dispreferred" 0 15
"1428" 30 2 "F" "homogenous" "preferred" 1 1
"1430" 30 2 "G" "homogenous" "preferred" 1 2
"1431" 30 2 "G" "homogenous" "dispreferred" 0 14
"1433" 30 2 "G" "heterogenous" "preferred" 1 23
"1434" 30 2 "G" "heterogenous" "dispreferred" 0 6
"1435" 30 2 "H" "heterogenous" "dispreferred" 0 17
"1438" 30 2 "H" "heterogenous" "preferred" 0 31
"1439" 30 2 "H" "homogenous" "dispreferred" 0 32
"1440" 30 2 "H" "homogenous" "preferred" 1 25
"1441" 31 3 "A" "homogenous" "dispreferred" 1 20
"1442" 31 3 "A" "heterogenous" "dispreferred" 0 7
"1444" 31 3 "A" "heterogenous" "preferred" 1 29
"1446" 31 3 "A" "homogenous" "preferred" 0 13
"1447" 31 3 "B" "heterogenous" "preferred" 0 27
"1448" 31 3 "B" "heterogenous" "dispreferred" 0 26
"1449" 31 3 "B" "homogenous" "preferred" 1 12
